num_nodes,num_edges,threshold,num_edges_changed,d_totaltime,d_replantime,d_cost,d_meancost,d_varcost,d_numupdates,d_paths_expanded,d_heap_ops,d_paths_considered,r_totaltime,r_replantime,r_cost,r_meancost,r_varcost,r_numupdates,r_paths_expanded,r_heap_ops,r_paths_considered
25,458,0.75,5,0.959903001785278,0.781348943710327,22.4995087836235,28,18,2,339,2208,32,2.91777348518372,0.481152534484863,30.4468763521669,31,23,3,882,3218,25
25,924,0.75,5,2.07624268531799,1.99072003364563,43.9865427855976,27,29,3,436,2101,64,1.14481091499329,0.424499988555908,39.4970102245541,32,32,2,466,1961,6
25,1362,0.75,5,0.77560019493103,0.694001436233521,23.7399095546093,30,22,2,266,1708,21,1.61850237846375,0.439331293106079,16.5593965286728,16,26,5,561,3241,22
25,1816,0.75,5,1.18839287757874,1.08711910247803,37.8595461112685,45,30,3,451,2094,78,1.6577935218811,0.588512182235718,32.2623321796245,26,28,3,715,2665,24
25,2288,0.75,5,0.320445060729981,0.123508930206299,13.2119223879518,27,17,2,182,1434,10,1.78816342353821,0.365806102752686,18.7705530845895,30,19,3,707,3037,21
25,2694,0.75,5,1.17371416091919,0.983322381973267,35.8466617537382,34,39,3,302,2212,58,2.18285441398621,0.382067203521729,22.2016598611628,31,43,3,692,3064,32
25,3146,0.75,5,0.815222978591919,0.68664026260376,11.5649103759173,20,44,4,326,2057,42,0.949180126190186,0.259777545928955,14.0946951540613,19,31,3,402,1794,15
25,3614,0.75,5,0.298003673553467,0.122496843338013,37.0598528198198,36,14,1,197,1147,8,1.23775243759155,0.17372989654541,35.0594081367489,36,14,1,411,1888,7
25,4112,0.75,5,0.461553573608398,0.356585025787354,24.5240590546492,30,28,3,280,1566,25,2.36413788795471,1.13354063034058,15.4554660452264,35,30,2,675,3132,18
25,4516,0.75,5,0.170733690261841,0.038667678833008,29.5658591280312,25,36,3,138,1231,16,2.56281757354736,0.843412399291992,27.1919263248778,32,26,3,765,3397,29
25,4998,0.75,5,0.154261112213135,0.06014347076416,16.7273394245867,39,15,1,106,945,11,1.34603714942932,0.567234754562378,48.7605049902963,39,17,2,627,2350,11
25,5464,0.75,5,0.389103889465332,0.303412914276123,34.5912629009053,38,6,1,221,1541,13,1.14155912399292,0.361272811889648,25.1808790692297,38,6,1,423,1953,7
25,5884,0.75,5,0.617175340652466,0.371095895767212,11.3072624480613,23,23,3,279,1675,40,6.2530825138092,0.554025650024414,7.36907720757525,25,33,4,1341,4778,36
25,6366,0.75,5,0.25061559677124,0.165003538131714,12.4940598011135,15,26,3,143,1168,17,0.991458892822266,0.283318996429443,24.0687335060107,15,26,3,378,1959,12
25,6832,0.75,5,0.478853225708008,0.402227401733398,25.4623450068481,37,15,2,259,1645,13,1.42236971855164,0.351610660552979,5.98582173037613,25,34,3,504,2544,9
25,7298,0.75,5,0.49678635597229,0.342803478240967,35.8547815568692,41,10,1,302,1778,10,1.49099469184876,0.251494169235229,2.23264014231682,17,25,3,525,2495,10
25,7804,0.75,5,0.714604377746582,0.589524984359741,45.670393899612,38,8,1,314,2070,25,3.5364146232605,0.925184726715088,29.2948306621804,31,10,2,853,3302,16
25,8278,0.75,5,0.755886554718018,0.626778602600098,23.976016937252,29,35,3,331,2019,50,2.57117414474487,1.10095739364624,12.272077849194,28,33,3,863,3612,26
25,8730,0.75,5,0.262378454208374,0.131837844848633,21.4607478350774,24,20,2,164,1189,31,2.41639304161072,0.234620571136475,21.3957085177535,25,15,3,686,2895,27
25,494,0.75,5,1.89927363395691,1.76552677154541,41.3911511781466,40,11,3,532,2371,74,2.02905821800232,0.378670454025269,29.3619213196489,25,32,2,667,2709,10
