num_nodes,num_edges,threshold,num_edges_changed,d_totaltime,d_replantime,d_cost,d_meancost,d_varcost,d_numupdates,d_paths_expanded,d_heap_ops,d_paths_considered,r_totaltime,r_replantime,r_cost,r_meancost,r_varcost,r_numupdates,r_paths_expanded,r_heap_ops,r_paths_considered
25,458,0.75,20,0.2918515205383301,0.1168370246887207,31.825154988127764,47,16,2,145,1261,29,2.500887393951416,0.0950169563293457,61.293219437727934,34,18,2,720,2367,20
25,924,0.75,20,0.10214734077453613,0.016358375549316406,43.239791840964756,37,13,1,69,693,4,0.7459964752197266,0.02127838134765625,28.61859232050682,37,13,1,287,1313,3
25,1362,0.75,20,0.17189836502075195,0.08893656730651855,29.108588321404163,42,27,2,112,857,19,1.751457691192627,0.5489282608032227,40.66165123927866,42,27,2,553,2242,18
25,1816,0.75,20,0.25876307487487793,0.15570354461669922,22.403844259430596,43,21,3,93,773,26,1.2861084938049316,0.20996856689453125,20.581574237797327,45,19,2,523,1728,22
25,2288,0.75,20,0.24469709396362305,0.04378819465637207,37.04909461894057,42,19,1,125,1096,13,1.6538145542144775,0.22011542320251465,37.202906492996675,31,27,2,615,2160,8
25,2694,0.75,20,0.2291254997253418,0.034484148025512695,68.74253919716422,40,20,2,140,1212,12,1.878864049911499,0.06394505500793457,41.42179461370042,35,21,2,557,2146,10
25,3146,0.75,20,0.21455669403076172,0.08193373680114746,46.71071881662991,45,16,2,142,1078,18,0.9247632026672363,0.23417258262634277,16.363992784565763,33,29,2,405,1941,10
25,3614,0.75,20,0.22716307640075684,0.049698829650878906,26.97196067957545,36,14,1,113,1073,8,1.4821763038635254,0.4101297855377197,18.192583123293304,27,33,2,506,2259,12
25,4112,0.75,20,0.21881580352783203,0.11463713645935059,24.13180008545494,40,31,3,121,990,23,2.0026657581329346,0.7948966026306152,39.987066195785395,40,25,2,719,2742,17
25,4516,0.75,20,0.19220447540283203,0.05857539176940918,43.930535899470385,40,5,1,105,1031,17,1.7586016654968262,0.06380724906921387,35.08118654774215,33,20,2,499,1960,12
25,4998,0.75,20,0.1363673210144043,0.05915093421936035,43.65214525693345,43,17,1,115,838,19,1.2712409496307373,0.4895048141479492,39.09523689902118,39,17,2,589,2040,11
25,5464,0.75,20,0.09465360641479492,0.008889436721801758,39.725216207732984,38,6,1,67,911,3,0.7870151996612549,0.009778261184692383,42.07527602080884,29,13,2,293,1306,3
25,5884,0.75,20,0.5941002368927002,0.34467482566833496,33.4581395258066,41,24,2,178,1302,41,6.246737957000732,0.6103949546813965,31.416663693913733,40,18,3,1238,4547,38
25,6366,0.75,20,0.2633934020996094,0.17426657676696777,37.53791729781614,36,20,2,183,1140,15,1.278832197189331,0.5575759410858154,48.85335544555613,34,33,3,459,2498,8
25,6832,0.75,20,0.09921026229858398,0.022693872451782227,48.31294674186254,43,14,2,80,892,8,1.1165988445281982,0.04336357116699219,21.897933753243432,23,25,2,379,1661,5
25,7298,0.75,20,0.1735670566558838,0.016745805740356445,35.085359983778446,41,10,1,93,1026,8,1.2470099925994873,0.0183713436126709,45.58520468455211,41,10,1,392,1523,8
25,7804,0.75,20,0.1642591953277588,0.03704643249511719,45.14175097597391,38,8,1,111,1046,10,2.74119234085083,0.19830036163330078,43.13218294830017,38,8,1,671,2797,9
25,8278,0.75,20,0.1699237823486328,0.038763999938964844,21.397198203109312,40,16,2,94,1043,15,1.5345649719238281,0.05072498321533203,32.981885258592854,36,14,2,504,1901,9
25,8730,0.75,20,0.34017276763916016,0.20874619483947754,22.63757073392361,47,27,2,137,998,36,2.3628275394439697,0.2116711139678955,21.880916645667327,41,26,2,637,2634,23
25,9224,0.75,20,0.24762439727783203,0.11116194725036621,43.74802760384784,43,22,2,156,1055,18,1.879150390625,0.20284533500671387,25.211855369476005,39,21,2,581,2307,9
