num_nodes,num_edges,threshold,num_edges_changed,d_totaltime,d_replantime,d_cost,d_meancost,d_varcost,d_numupdates,d_paths_expanded,d_heap_ops,d_paths_considered,r_totaltime,r_replantime,r_cost,r_meancost,r_varcost,r_numupdates,r_paths_expanded,r_heap_ops,r_paths_considered
35,438,0.75,5,1.21325063705444,0.987607717514038,49.2107902881501,47,39,7,523,2627,127,27.1126210689545,11.8505551815033,36.8453162542967,50,36,6,4301,11724,101
35,824,0.75,5,0.219350337982178,0.07333517074585,49.97877131947,62,35,4,174,1261,26,3.8236255645752,0.189998865127564,41.6443202713963,43,25,4,1244,3433,14
35,1264,0.75,5,0.412447690963745,0.124847173690796,33.8299309986851,37,22,4,259,1898,25,11.4518086910248,0.402164697647095,36.6627478008485,37,22,4,2142,6027,19
35,1632,0.75,5,0.450689554214478,0.254724502563477,43.0680708034382,47,33,5,303,1645,55,7.75608921051025,2.92426633834839,55.1337794768362,42,35,5,2510,6960,32
35,2036,0.75,5,0.808796405792236,0.4231116771698,93.6566661674437,85,42,5,491,2600,64,16.8878393173218,3.64470505714416,54.3256462869232,53,27,4,3142,8156,15
35,2496,0.75,5,0.808679819107056,0.553693056106567,60.9320955611166,63,43,5,316,2118,44,15.5599544048309,2.23302268981934,64.7632591621274,45,29,4,3098,8256,15
35,2852,0.75,5,0.32707953453064,0.081501007080078,40.4946253233466,44,35,4,299,1491,18,11.5404889583588,0.383100271224976,44.4470401104057,39,24,4,2224,5734,17
35,3224,0.75,5,0.118590831756592,0.053451538085938,75.2672172161203,53,46,6,179,1061,23,5.39107155799866,1.4189784526825,70.453883969223,58,46,7,1926,6401,20
35,3618,0.75,5,0.316473722457886,0.187966346740723,70.438510043543,61,31,6,251,1301,35,4.08987545967102,0.882473945617676,57.4410696163847,52,45,8,1407,5355,27
35,3964,0.75,5,0.182451963424683,0.078368186950684,82.6280860885225,53,43,6,246,1316,18,5.30542731285095,2.28836941719055,25.9398852389127,38,40,7,2052,6684,14
35,4338,0.75,5,0.234606504440308,0.125090599060059,61.2083071340741,60,40,4,245,1362,12,7.96391606330872,2.06420660018921,48.9672039583204,51,25,4,2161,5600,7
35,4754,0.75,5,0.902837038040161,0.713918209075928,51.8500610468576,56,28,5,381,2292,100,35.1186118125916,2.57615971565247,32.730246830164,43,45,5,3840,11414,27
35,5198,0.75,5,0.247511148452759,0.109273433685303,37.7308098951899,43,9,4,211,1445,26,3.66623449325562,1.08266139030457,45.7905634996906,43,9,4,1262,3568,18
35,5568,0.75,5,0.198841571807861,0.085446119308472,77.0976733150792,53,35,5,203,1206,23,3.2423095703125,0.605588674545288,64.9876574656764,51,49,5,1335,4097,16
35,5932,0.75,5,0.30105185508728,0.134002447128296,71.4377518891559,66,41,3,258,1551,36,7.79981517791748,0.676058292388916,76.6075644394967,63,48,5,1972,5955,32
35,6344,0.75,5,1.1219961643219,0.61825966835022,88.3812671736464,83,53,5,523,2896,55,17.2425169944763,0.911015033721924,47.6670040996206,51,33,4,2290,6680,31
35,6744,0.75,5,0.298142910003662,0.121317148208618,86.598205615662,74,18,2,207,1387,10,4.19251775741577,0.313436269760132,66.3738711748834,58,27,2,976,3538,10
35,7198,0.75,5,0.847095727920532,0.563108682632446,38.8715032112199,59,43,5,398,2252,18,4.79531812667847,0.297883033752441,42.157141832351,49,33,5,1126,3963,14
35,7668,0.75,5,1.28451943397522,1.01434731483459,37.2562464514469,54,35,5,351,2142,63,3.69584822654724,0.470637559890747,49.3798320060052,54,31,5,1202,4075,37
35,464,0.75,5,0.913916110992431,0.52127742767334,32.0912145736592,45,30,5,471,2580,105,20.4104461669922,0.49605131149292,41.5280075019238,51,54,6,2728,8659,55
