num_nodes,num_edges,threshold,num_edges_changed,d_totaltime,d_replantime,d_cost,d_meancost,d_varcost,d_numupdates,d_paths_expanded,d_heap_ops,d_paths_considered,r_totaltime,r_replantime,r_cost,r_meancost,r_varcost,r_numupdates,r_paths_expanded,r_heap_ops,r_paths_considered
30,422,0.75,5,0.447131872177124,0.2836918830871582,51.093760803839395,72,23,4,260,1585,59,7.9882731437683105,1.0124802589416504,19.42126978731401,23,21,5,1678,5532,23
30,832,0.75,5,0.25943565368652344,0.10481071472167969,56.08268591586834,44,20,3,197,1647,10,2.3659067153930664,0.22613072395324707,29.465021346620624,41,20,4,755,2718,11
30,1194,0.75,5,0.2279818058013916,0.13565611839294434,40.63408375933447,54,25,3,201,1249,25,1.9516940116882324,0.27585601806640625,18.28105303553028,37,27,4,829,2744,16
30,1572,0.75,5,0.2808523178100586,0.16565155982971191,40.811920379328136,62,27,2,184,1440,20,2.3165979385375977,0.2684144973754883,51.875682760246875,47,24,2,750,2666,7
30,1874,0.75,5,0.1949472427368164,0.1085977554321289,64.0104804139587,65,20,3,192,1095,25,1.2641618251800537,0.3071291446685791,69.53702171526969,56,44,5,803,2512,17
30,2188,0.75,5,0.3935081958770752,0.16528081893920898,43.72020855660597,45,44,3,280,1459,39,5.121526479721069,0.29468226432800293,60.4030524701126,45,44,3,1211,3969,26
30,2564,0.75,5,0.22357177734375,0.15546798706054688,50.91171773745396,69,30,3,146,1274,12,0.9298808574676514,0.1436917781829834,67.43117865212895,76,22,2,378,1759,8
30,2972,0.75,5,0.35060930252075195,0.16301488876342773,42.20834443164923,53,20,3,278,1924,12,12.104748964309692,1.0945804119110107,61.88798528835789,51,22,3,2576,6548,11
30,3316,0.75,5,0.1900320053100586,0.12052345275878906,32.1694161741069,55,49,5,183,960,39,0.8779375553131104,0.20844054222106934,80.22441060153128,56,26,4,503,1779,22
30,3696,0.75,5,0.3687398433685303,0.3027334213256836,33.002744174809735,46,40,6,281,1446,50,1.3880877494812012,0.10102677345275879,31.32822266991147,45,20,4,614,1838,11
30,3978,0.75,5,0.15476059913635254,0.057637929916381836,26.847110257124633,34,38,5,161,823,23,1.98046875,0.3398435115814209,49.52337008281595,34,38,5,887,3385,18
30,4342,0.75,5,0.21059441566467285,0.08230447769165039,47.46648697447908,51,33,3,195,1343,32,7.157524347305298,0.8272659778594971,31.533521466449137,51,23,4,1999,5642,37
30,4700,0.75,5,0.15350031852722168,0.09010910987854004,58.19919674807994,54,53,6,146,991,32,1.251279592514038,0.21123528480529785,62.404947688315914,56,41,5,706,2437,19
30,5084,0.75,5,0.17348933219909668,0.07136893272399902,55.632443275643304,56,36,4,147,1315,16,5.4000303745269775,0.1143794059753418,50.30897261269582,42,34,4,1417,4016,8
30,5500,0.75,5,0.22383880615234375,0.024498939514160156,42.31342861235476,51,29,3,126,1308,15,5.086171865463257,1.575011968612671,52.35325055350067,65,53,4,1869,4820,28
30,5898,0.75,5,0.4970896244049072,0.3860604763031006,44.81120174195914,43,22,4,393,1961,24,8.510787010192871,1.9007680416107178,46.162275505829896,43,22,4,2057,6169,25
30,6218,0.75,5,0.1325671672821045,0.059145212173461914,59.460916387569306,64,28,4,155,997,20,3.918560266494751,0.3989572525024414,68.04226588073621,64,28,4,1338,3871,18
30,6652,0.75,5,0.531782865524292,0.23598051071166992,51.21729027569046,45,21,4,339,2174,23,7.639906883239746,0.25721073150634766,27.32889742914277,41,27,4,1491,4683,16
30,7024,0.75,5,0.21943187713623047,0.10099911689758301,43.28335472024821,43,46,5,214,1345,25,5.645215749740601,1.5312104225158691,44.842078615927704,44,50,6,1733,5141,29
30,7402,0.75,5,0.17180991172790527,0.07785820960998535,34.70206024568261,44,39,4,202,1271,37,5.585916042327881,1.0517690181732178,71.893438791879,40,42,4,1500,4644,32
