num_nodes,num_edges,threshold,num_edges_changed,d_totaltime,d_replantime,d_cost,d_meancost,d_varcost,d_numupdates,d_paths_expanded,d_heap_ops,d_paths_considered,r_totaltime,r_replantime,r_cost,r_meancost,r_varcost,r_numupdates,r_paths_expanded,r_heap_ops,r_paths_considered
30,422,0.75,10,0.30085301399231,0.136212587356567,48.9335492604101,61,27,5,232,1372,43,7.35148930549622,0.381644248962402,26.7225629470167,64,29,2,1475,4613,20
30,832,0.75,10,0.249862194061279,0.094155550003052,78.3043980015288,63,24,4,203,1580,18,2.57628965377808,0.428310394287109,31.1074243799665,45,31,3,853,3075,12
30,1194,0.75,10,0.159518718719482,0.067999601364136,40.1883541223848,35,27,4,160,1072,18,1.85982465744019,0.177858352661133,34.8748860488247,32,28,4,777,2584,15
30,1572,0.75,10,0.170795440673828,0.05538272857666,52.7424979620394,58,21,2,142,1214,13,2.20636343955994,0.163074254989624,39.03132694305,53,26,3,748,2646,11
30,1874,0.75,10,0.101425409317017,0.016205310821533,88.5822945907885,66,25,3,118,823,22,1.15911984443665,0.200332164764404,53.0631461872123,59,31,3,696,2185,17
30,2188,0.75,10,0.467514038085938,0.237798452377319,39.5070026585859,82,30,3,293,1441,48,6.6046793460846,1.70943284034729,45.364923386817,48,37,5,1829,5686,45
30,2564,0.75,10,0.273339509963989,0.2061767578125,89.5411012084299,77,25,3,148,1019,23,0.870142459869385,0.050071239471436,58.5271321811999,72,19,3,343,1531,5
30,2972,0.75,10,0.309300661087036,0.12277626991272,52.2076609806628,62,25,4,224,1559,41,12.2999403476715,1.20508241653442,59.1128448996751,58,16,3,2634,6836,11
30,344,0.75,10,0.150458574295044,0.076061725616455,30.374981295203,61,37,5,146,870,24,0.86805534362793,0.140540838241577,67.0337732696914,48,31,5,495,1982,15
30,724,0.75,10,0.116451978683472,0.045401096343994,48.163246864621,51,24,3,120,904,7,1.61371421813965,0.237366914749145,45.169985099491,51,24,3,679,2246,7
30,1006,0.75,10,0.287509441375732,0.183143377304077,56.9887016582167,56,34,3,169,905,22,1.98876810073853,0.210864305496216,19.2156677817626,45,42,5,793,2691,20
30,1370,0.75,10,0.324049711227417,0.185917854309082,49.6806602692515,69,34,4,213,1319,50,8.20747804641724,1.38516449928284,56.364862668377,64,35,3,2131,5852,29
30,1728,0.75,10,0.118113040924072,0.049216508865357,68.3359759937012,59,15,3,91,690,17,1.42601919174194,0.306408643722534,34.8027871939196,52,18,3,753,2135,11
30,2112,0.75,10,0.144001483917236,0.033105373382568,58.5688540555281,42,23,2,122,1139,3,5.75006699562073,0.072284460067749,42.0671614395194,42,23,2,1372,3448,5
30,2528,0.75,10,0.26557469367981,0.04921555519104,57.631090492788,66,32,3,163,1403,20,4.29655027389526,0.511556386947632,44.7373876026294,56,40,4,1429,4373,27
30,2926,0.75,10,0.158453702926636,0.037798643112183,31.5215528678163,40,24,5,159,1216,20,8.62882113456726,1.52561521530151,30.884820670653,33,28,5,1854,5766,21
30,3246,0.75,10,0.097374200820923,0.017921686172485,39.0457836998818,60,39,4,122,834,20,4.57339334487915,0.761534214019775,51.302703681799,58,35,4,1444,4080,15
30,3680,0.75,10,0.46938419342041,0.148874282836914,41.2249007808895,51,28,4,229,1688,34,9.50234961509705,1.51157283782959,36.2759028476622,39,32,4,1777,5937,27
30,4052,0.75,10,0.255099058151245,0.128222227096558,29.9269111489935,48,33,4,196,1195,17,5.39724636077881,0.94268536567688,50.1128066738934,48,33,4,1578,4009,13
30,4430,0.75,10,0.195974111557007,0.093637704849243,68.2469537618111,55,27,5,169,1109,45,6.32331871986389,1.38957571983337,51.3883562919011,55,27,5,1714,5817,38
