num_nodes,num_edges,threshold,num_edges_changed,d_totaltime,d_replantime,d_cost,d_meancost,d_varcost,d_numupdates,d_paths_expanded,d_heap_ops,d_paths_considered,r_totaltime,r_replantime,r_cost,r_meancost,r_varcost,r_numupdates,r_paths_expanded,r_heap_ops,r_paths_considered
35,438,0.75,10,0.34853363037109375,0.12010407447814941,66.69648571945771,61,15,3,229,1773,24,18.456650018692017,3.345458507537842,60.712873981014226,61,15,3,3015,8148,22
35,824,0.75,10,0.20569515228271484,0.05965876579284668,59.38503023605408,72,18,3,186,1261,23,4.362956285476685,0.7400720119476318,69.54673700736802,54,37,4,1409,4033,21
35,1264,0.75,10,0.4015018939971924,0.12469625473022461,66.33214899508056,69,32,4,233,1621,32,11.777034997940063,0.8997979164123535,73.65423807980257,58,44,5,2257,6790,24
35,1632,0.75,10,0.35097384452819824,0.14590859413146973,37.48421911944937,60,27,4,262,1478,42,10.530027866363525,5.781583547592163,82.68337511959876,56,40,5,3262,8941,35
35,2036,0.75,10,0.4368276596069336,0.0581510066986084,61.508106639283376,47,18,5,264,1850,24,13.847841739654541,0.7030699253082275,42.19451681901554,47,18,5,2613,6829,15
35,2496,0.75,10,0.30073094367980957,0.05129098892211914,55.96714456767559,71,20,3,208,1657,11,21.301924228668213,7.974515676498413,52.311754142012596,71,20,3,3815,9925,11
35,2852,0.75,10,0.43700456619262695,0.17558860778808594,54.76410030578484,58,28,4,316,1341,31,13.494630336761475,2.448361873626709,72.12547513497923,58,28,4,2632,7386,30
35,3224,0.75,10,0.1065528392791748,0.04080963134765625,35.08747347624476,46,28,5,162,1007,14,4.829822778701782,0.7721319198608398,42.13214643515711,61,46,5,1638,4930,11
35,3618,0.75,10,0.2535116672515869,0.1306145191192627,56.4160258890263,67,29,5,186,1199,24,3.552294969558716,0.4052574634552002,60.43291738812675,58,19,4,1067,3765,13
35,3964,0.75,10,0.12339448928833008,0.025928258895874023,91.75322419167544,75,37,6,145,927,13,4.45566725730896,1.346998929977417,53.372107548326966,57,31,5,1664,5031,7
35,4338,0.75,10,0.1349635124206543,0.025177001953125,90.93222474605716,74,29,3,144,971,6,8.22208285331726,2.340070962905884,84.20810572854425,69,23,3,2220,6036,4
35,4754,0.75,10,0.33705735206604004,0.15590834617614746,46.72822921665393,69,60,5,290,1795,50,46.592021226882935,14.730385065078735,69.26082718668228,71,17,4,4971,15230,15
35,5198,0.75,10,0.22200846672058105,0.10225534439086914,57.83519828631686,62,25,5,193,1253,30,3.0971720218658447,0.5245921611785889,59.02579426384627,62,23,5,1215,4021,25
35,5568,0.75,10,0.17385244369506836,0.06089425086975098,76.1945568415903,75,21,4,172,999,27,3.6953141689300537,1.0508825778961182,56.83973160084678,69,35,6,1509,4610,23
35,5932,0.75,10,0.27908968925476074,0.11189484596252441,59.673162973023594,65,29,3,222,1523,29,9.781493425369263,2.6359899044036865,45.293270155991905,61,26,4,2262,6567,23
35,6344,0.75,10,0.6230475902557373,0.11943912506103516,74.93881012374759,67,38,4,298,1944,37,17.265870571136475,0.7164356708526611,93.75556563400343,64,36,5,2413,7477,33
35,6744,0.75,10,0.3552546501159668,0.17969107627868652,92.13969982993929,74,18,2,233,1421,9,4.320805072784424,0.4042837619781494,62.317123030730755,74,18,2,1034,3659,10
35,7198,0.75,10,0.42255330085754395,0.13930726051330566,80.9110952527493,76,32,4,237,1535,20,5.075547218322754,0.5357718467712402,50.92006850798599,68,35,4,1294,4271,20
35,7668,0.75,10,0.4745774269104004,0.20276451110839844,48.21319218515711,70,24,4,247,1615,49,3.7113876342773438,0.5148258209228516,49.78538968878898,60,35,6,1217,3796,29
35,8132,0.75,10,0.7248589992523193,0.35323023796081543,47.38108321845891,56,37,4,455,2628,93,20.13501763343811,0.9539365768432617,69.53987243307367,54,37,5,2886,9240,39
