num_nodes,num_edges,threshold,num_edges_changed,d_totaltime,d_replantime,d_cost,d_meancost,d_varcost,d_numupdates,d_paths_expanded,d_heap_ops,d_paths_considered,r_totaltime,r_replantime,r_cost,r_meancost,r_varcost,r_numupdates,r_paths_expanded,r_heap_ops,r_paths_considered
20,344,0.75,20,0.0804746150970459,0.003926515579223633,34.02955642151028,34,9,1,65,664,5,0.3856198787689209,0.009393930435180664,43.9841845098019,34,9,1,218,873,4
20,708,0.75,20,0.07792782783508301,0.013291358947753906,26.609451654410854,29,11,1,65,732,2,0.19146156311035156,0.013078927993774414,32.01504609085977,29,11,1,136,716,2
20,1056,0.75,20,0.0834050178527832,0.05179309844970703,37.93256730263276,33,15,1,74,539,11,0.30812788009643555,0.02794480323791504,17.046414338872566,30,7,1,173,934,4
20,1402,0.75,20,0.10358762741088867,0.020363330841064453,15.929601691226074,27,13,2,68,579,8,0.45935988426208496,0.01674056053161621,26.946136636159316,27,13,2,199,1013,6
20,1756,0.75,20,0.11573386192321777,0.03991961479187012,16.434084498526616,35,17,1,94,895,9,0.43418145179748535,0.03337287902832031,36.422645565452925,26,20,2,222,1054,7
20,2110,0.75,20,0.06765341758728027,0.004915714263916016,36.16604885448882,30,11,1,57,593,3,0.348041296005249,0.038426876068115234,26.50760193498995,33,17,2,202,1069,4
20,2452,0.75,20,0.09063291549682617,0.008665800094604492,33.4603138791136,28,12,1,65,513,9,0.28846049308776855,0.029245853424072266,22.993383699361917,28,12,1,139,729,8
20,2812,0.75,20,0.0715334415435791,0.0054264068603515625,50.23943395277965,28,14,2,60,709,3,0.43091917037963867,0.04422760009765625,31.686672352740334,28,14,2,243,1116,4
20,3166,0.75,20,0.05734372138977051,0.021776199340820312,26.32557878296551,31,5,1,69,597,3,0.2689516544342041,0.04548835754394531,34.63497137539176,31,5,1,184,898,3
20,3520,0.75,20,0.1495819091796875,0.03804278373718262,31.89505068484426,22,17,3,94,761,22,0.7735373973846436,0.05510401725769043,36.65434616236568,33,3,1,329,1232,12
20,3876,0.75,20,0.04822349548339844,0.010301828384399414,24.618338426132624,34,12,1,61,542,5,0.4874691963195801,0.025343656539916992,16.444324310272545,33,19,2,276,1134,6
20,4214,0.75,20,0.08166241645812988,0.0067901611328125,27.505106285785534,28,8,1,65,688,3,0.43749499320983887,0.01848292350769043,37.48131024788931,28,8,1,220,1068,3
20,4550,0.75,20,0.04922986030578613,0.009146690368652344,23.499788412186554,31,10,1,50,414,4,0.23238921165466309,0.013110637664794922,33.70483449893139,31,10,1,163,754,3
20,4900,0.75,20,0.07982182502746582,0.02870917320251465,33.06424671060271,34,28,2,84,612,12,0.38937830924987793,0.01959824562072754,21.661895881968917,31,10,1,227,977,4
20,5258,0.75,20,0.16166377067565918,0.07914185523986816,28.66040493506914,36,18,1,86,612,19,0.6672451496124268,0.06682395935058594,30.42228846382925,34,15,2,314,1153,17
20,5590,0.75,20,0.10398745536804199,0.0229189395904541,29.8414300547148,36,11,1,95,784,10,0.7018351554870605,0.05176830291748047,41.35633218016507,36,11,1,329,1276,11
20,5940,0.75,20,0.06950235366821289,0.02079486846923828,36.93810076094654,29,9,1,52,480,3,0.16576647758483887,0.011754989624023438,27.760800745360065,29,9,1,108,694,3
20,6288,0.75,20,0.09761905670166016,0.04156613349914551,29.876544968885604,35,10,1,64,436,10,0.4113729000091553,0.14714765548706055,16.146167639178366,33,16,2,264,1213,13
20,6642,0.75,20,0.07397294044494629,0.01850271224975586,29.664759812590376,31,3,1,55,629,6,0.3495006561279297,0.018924474716186523,33.39064322946043,31,3,1,199,885,4
20,6994,0.75,20,0.0592195987701416,0.009560108184814453,39.2230261945715,34,25,1,61,565,7,0.39786434173583984,0.020008087158203125,20.191600056049516,31,18,2,254,959,6
