num_nodes,num_edges,threshold,num_edges_changed,d_totaltime,d_replantime,d_cost,d_meancost,d_varcost,d_numupdates,d_paths_expanded,d_heap_ops,d_paths_considered,r_totaltime,r_replantime,r_cost,r_meancost,r_varcost,r_numupdates,r_paths_expanded,r_heap_ops,r_paths_considered
20,344,0.75,10,0.10150671005249023,0.025107145309448242,45.455550227794404,34,9,1,91,812,5,0.43973684310913086,0.05493307113647461,40.80093071619246,34,9,1,253,1060,5
20,708,0.75,10,0.07943439483642578,0.015516281127929688,37.83982360651782,29,11,1,65,775,3,0.20002508163452148,0.016615629196166992,26.035437084905567,25,2,2,141,772,3
20,1056,0.75,10,0.0661168098449707,0.030937910079956055,32.3998615244097,33,15,1,62,416,10,0.31498217582702637,0.03244805335998535,31.983304311507368,30,7,1,177,967,4
20,1402,0.75,10,0.1920943260192871,0.11379075050354004,22.134305233716898,23,20,2,121,934,10,0.4615330696105957,0.027949810028076172,25.77820308452666,19,11,2,204,1052,6
20,1756,0.75,10,0.09390735626220703,0.0228574275970459,23.14744116918679,35,17,1,86,785,10,0.44107484817504883,0.06109333038330078,24.535403876306574,29,24,2,243,1175,8
20,2110,0.75,10,0.07357931137084961,0.01067662239074707,24.848466291693732,30,11,1,70,637,3,0.3353555202484131,0.023025035858154297,23.38055837640572,30,11,1,187,948,3
20,2452,0.75,10,0.12492537498474121,0.04249453544616699,23.830659272615968,35,32,2,86,593,14,0.3009765148162842,0.03588128089904785,11.504990729781277,16,23,4,179,1195,11
20,2812,0.75,10,0.16384029388427734,0.09705686569213867,29.74079847097179,29,19,2,128,987,12,0.5421051979064941,0.1490647792816162,23.68740036070797,28,14,2,308,1258,6
20,3166,0.75,10,0.0411226749420166,0.004456520080566406,32.640342661819076,31,5,1,34,468,3,0.2298901081085205,0.00655055046081543,32.1316239873142,31,5,1,154,670,3
20,3520,0.75,10,0.1990828514099121,0.08521699905395508,52.81431922611091,34,17,2,156,896,27,0.9845547676086426,0.24294757843017578,22.90540419458383,26,16,3,462,2190,24
20,3876,0.75,10,0.05069541931152344,0.011321544647216797,38.7883239042946,37,17,2,52,580,7,0.5618064403533936,0.0868825912475586,26.92004599334073,29,23,2,320,1361,9
20,4214,0.75,10,0.12465405464172363,0.047727108001708984,31.462735830880245,28,8,1,114,936,11,0.5098657608032227,0.07850360870361328,21.310355811183378,28,8,1,256,1250,7
20,4550,0.75,10,0.10012245178222656,0.06052970886230469,30.45116883086822,31,10,1,98,583,11,0.27071499824523926,0.04478621482849121,36.850523959309655,31,10,1,186,873,6
20,4900,0.75,10,0.06444144248962402,0.013028621673583984,22.017992133497984,34,16,1,48,508,6,0.6319305896759033,0.25560688972473145,26.743499803625067,34,28,2,381,1691,9
20,5258,0.75,10,0.19973182678222656,0.11529135704040527,45.78644052685182,36,18,1,122,761,30,0.7502713203430176,0.13560080528259277,15.317117342177129,24,32,2,399,1508,18
20,5590,0.75,10,0.0955507755279541,0.01829051971435547,37.9995506631619,36,11,1,87,823,10,0.7029170989990234,0.043752431869506836,50.72375672322951,36,11,1,323,1316,11
20,5940,0.75,10,0.05165290832519531,0.004783153533935547,29.067603417243042,29,9,1,41,400,2,0.14980244636535645,0.002050161361694336,24.799800838149807,29,9,1,96,575,2
20,6288,0.75,10,0.14159059524536133,0.08658266067504883,34.194846978258255,35,10,1,111,629,11,0.31253981590270996,0.05109095573425293,4.67291706602653,20,21,2,214,963,9
20,6642,0.75,10,0.15104222297668457,0.09668636322021484,31.638606620882886,31,3,1,124,895,8,0.43414998054504395,0.10929560661315918,29.850245786082446,31,3,1,258,1087,6
20,6994,0.75,10,0.09197473526000977,0.04242753982543945,23.704693317974495,28,28,2,88,651,16,0.4812459945678711,0.10352325439453125,23.65389192352275,29,27,2,303,1275,13
