num_nodes,num_edges,threshold,num_edges_changed,d_totaltime,d_replantime,d_cost,d_meancost,d_varcost,d_numupdates,d_paths_expanded,d_heap_ops,d_paths_considered,r_totaltime,r_replantime,r_cost,r_meancost,r_varcost,r_numupdates,r_paths_expanded,r_heap_ops,r_paths_considered
40,504,0.75,20,0.6836128234863281,0.37482571601867676,65.66148172060784,81.98414871619724,36,4,293,1587,41,19.158991813659668,4.1473376750946045,81.3419047692415,83.60836230737988,28,3,3001,8861,37
40,956,0.75,20,0.919419527053833,0.3422250747680664,93.08246481554933,84.67731400419221,36,5,336,2318,71,60.37733173370361,4.0098724365234375,89.68175719360238,81.3564779528647,32,4,5244,14021,47
40,1452,0.75,20,0.23622655868530273,0.0753026008605957,100.49848156913603,106.97812121654695,29,4,169,1225,20,17.66154408454895,7.5370566844940186,91.50881060942471,90.7643048333396,19,5,3722,9984,13
40,1962,0.75,20,1.6724350452423096,0.6327676773071289,37.05178664144499,51.095078245074234,38,6,421,2891,56,46.77861571311951,0.7452013492584229,52.061610422995166,45.98527818700654,29,6,3612,11438,40
40,2452,0.75,20,0.36084818840026855,0.18701434135437012,86.72951197103944,88.09900316981364,41,4,187,1278,39,6.868028163909912,2.3225488662719727,73.42629224426251,83.91747987152637,39,5,1726,6131,31
40,2918,0.75,20,7.659837245941162,6.260593414306641,116.65483355447373,105.6159646999163,52,5,602,3354,190,118.02171206474304,72.62264275550842,102.53398537540679,94.12935285915842,59,4,10124,26330,156
40,3368,0.75,20,5.006036043167114,2.713552713394165,76.60543301548573,100.179786556447,44,5,692,3958,159,49.93104648590088,5.1994569301605225,77.38538254676801,70.0229187943302,43,4,3419,11994,97
40,3932,0.75,20,0.37266111373901367,0.21846699714660645,77.14584937396916,85.64476523054263,34,5,256,1647,37,89.42273592948914,19.94315242767334,61.921174327174484,79.83980413511264,37,5,6984,20877,27
40,4444,0.75,20,1.0443620681762695,0.33070945739746094,86.81250410531338,97.88333910533716,22,3,369,2312,86,86.48972249031067,14.05554461479187,70.33805867501182,69.84859714541278,63,5,6561,17834,108
40,4964,0.75,20,1.4358372688293457,0.5237445831298828,70.25215234759223,91.49665339957618,39,4,513,3419,67,73.23240351676941,30.428512573242188,84.3040410626228,71.05170768254536,35,5,6024,19639,37
