num_nodes,num_edges,threshold,num_edges_changed,d_totaltime,d_replantime,d_cost,d_meancost,d_varcost,d_numupdates,d_paths_expanded,d_heap_ops,d_paths_considered,r_totaltime,r_replantime,r_cost,r_meancost,r_varcost,r_numupdates,r_paths_expanded,r_heap_ops,r_paths_considered
30,380,0.75,10,0.4410378932952881,0.1321849822998047,47.6164619118228,60.67384464120373,33,4,232,1342,38,4.808570861816406,0.7909386157989502,33.61341586759162,63.96556138395701,30,2,1020,3070,34
30,708,0.75,10,0.2930467128753662,0.10752296447753906,57.47809934183709,56.077631998440836,46,5,206,1174,57,7.759444713592529,3.244330406188965,51.333602054657206,56.077631998440836,46,5,2360,5567,53
30,1108,0.75,10,0.2995932102203369,0.21820545196533203,47.48189359496945,71.64070562715341,30,3,180,1177,28,2.281714916229248,0.28815793991088867,46.728547408215974,59.08110926407456,21,3,934,2807,23
30,1480,0.75,10,0.847297191619873,0.7785868644714355,64.40200208776129,53.231244015022355,25,3,218,1185,38,6.1574530601501465,0.4277796745300293,65.15003296788063,53.046457320631966,28,3,1515,4188,21
30,1884,0.75,10,0.24990224838256836,0.17385601997375488,61.40215800204322,71.60352642898242,27,3,146,1155,20,5.633432149887085,0.3785679340362549,55.24469171810474,60.12015617748895,36,2,1223,3633,15
30,2238,0.75,10,0.19420909881591797,0.12368369102478027,86.13131636417683,74.79829928960903,18,2,171,1053,14,3.003018856048584,0.49923110008239746,39.463099879276484,53.41188609922676,16,4,1221,3609,11
30,2582,0.75,10,0.1806795597076416,0.04068303108215332,62.430093934071905,54.4934403154768,16,3,128,1032,11,7.564344882965088,0.23501229286193848,64.11267202046356,54.4934403154768,16,3,1215,4208,11
30,3000,0.75,10,0.15409517288208008,0.056069135665893555,34.24444855816687,62.40619080191284,28,4,121,930,23,7.702419757843018,1.6595091819763184,64.11919048614412,65.74560433084011,45,5,1715,6123,19
30,3380,0.75,10,0.3377954959869385,0.0945272445678711,83.15853166181803,76.3519371775026,26,3,191,1436,16,4.333368539810181,0.4552299976348877,57.22246418246415,41.22453540846693,30,4,1081,3740,14
30,3798,0.75,10,0.4241650104522705,0.203995943069458,54.54921419881829,71.71147129216645,35,4,225,1486,28,6.561798572540283,1.1366946697235107,46.55965872911857,69.92303126860857,43,5,1550,5044,21
