num_nodes,num_edges,threshold,num_edges_changed,d_totaltime,d_replantime,d_cost,d_meancost,d_varcost,d_numupdates,d_paths_expanded,d_heap_ops,d_paths_considered,r_totaltime,r_replantime,r_cost,r_meancost,r_varcost,r_numupdates,r_paths_expanded,r_heap_ops,r_paths_considered
20,232,0.75,5,0.18556880950927734,0.14778590202331543,30.43879022325606,48.663799981094364,29,4,145,618,13,0.44347548484802246,0.14261579513549805,38.971537736291346,40.973658275925565,27,4,351,1320,9
20,448,0.75,5,0.04219460487365723,0.011388540267944336,40.41200864812345,53.531162842984266,18,2,49,427,6,0.13243365287780762,0.005428314208984375,23.221511478195364,35.51015672645125,23,3,138,493,6
20,650,0.75,5,0.05118703842163086,0.02522134780883789,35.38973299312667,44.66209393060561,15,2,62,367,7,0.21750140190124512,0.0432429313659668,19.469902055368955,44.640705627153416,34,2,222,785,7
20,868,0.75,5,0.11573314666748047,0.0769040584564209,27.183152614275834,52.82420952620588,22,2,103,580,12,0.7845015525817871,0.21295166015625,39.43135025319724,45.681373997263336,8,3,424,1517,15
20,1072,0.75,5,0.10904145240783691,0.05734825134277344,47.727819062800755,51.32773850169529,19,2,163,606,8,0.4148249626159668,0.1784834861755371,30.47998194951807,44.60975496340978,23,3,297,1206,15
20,1340,0.75,5,0.4797077178955078,0.44022607803344727,23.836600039491636,29.264337522473745,38,3,265,1156,32,0.5599532127380371,0.14630889892578125,22.510800271542976,34.252557478712056,29,2,382,1227,16
20,1582,0.75,5,0.1135249137878418,0.07816958427429199,44.32411268719122,44.456323296099875,14,2,99,761,8,0.2302539348602295,0.016283273696899414,31.66611749315043,31.267250834711177,20,3,169,681,4
20,1778,0.75,5,0.10499835014343262,0.08524394035339355,33.0872527583826,53.70487884893315,19,2,97,495,17,0.251086950302124,0.08805513381958008,54.791118553506124,47.424745057388975,29,3,246,914,15
20,2062,0.75,5,0.11934161186218262,0.07322239875793457,60.3378580879034,56.73498317503113,17,2,96,639,9,0.5752055644989014,0.12703394889831543,38.630944822064095,46.68412121133285,20,2,296,1031,8
20,2308,0.75,5,0.053844451904296875,0.024172544479370117,48.75860946733258,42.95903025942126,25,2,78,528,5,0.3551318645477295,0.0382990837097168,32.46945012486249,42.95903025942126,25,2,334,936,6
