iter,num_nodes,num_edges,threshold,num_edges_changed,d_totaltime,d_replantime,d_cost,d_meancost,d_varcost,d_numupdates,d_paths_expanded,d_heap_ops,d_paths_considered,d_closed_accesses,r_totaltime,r_replantime,r_cost,r_meancost,r_varcost,r_numupdates,r_paths_expanded,r_heap_ops,r_paths_considered,r_closed_accesses
10,80,796,0.75,5,4.73576903343201,2.6560652256012,96.6805219175046,100,56,9,1652,9871,174,23966,5.95306158065796,3.80950212478638,92.807690429309,92,44,12,2494,15875,154,30201
11,80,766,0.75,5,6.89656496047974,2.99332475662231,103.014149790527,86,65,9,1569,11780,104,25970,7.19515991210938,3.11542725563049,61.1005745101839,57,68,10,2278,14608,65,27235
12,80,836,0.75,5,0.988296985626221,0.248775243759155,100.97456902487,99,92,14,588,4487,62,12480,1.72122859954834,0.986600875854492,75.9933224088143,81,73,11,1041,7558,29,13666
13,80,766,0.75,5,26.5327572822571,17.2764461040497,131.214960515962,123,90,8,5297,23815,349,74890,31.222827911377,21.9545240402222,116.356812746527,119,77,9,5202,31372,325,64266
14,80,766,0.75,5,4.36281895637512,2.95553994178772,120.845539532982,134,101,16,1695,8427,221,25377,3.60670137405395,2.20179033279419,137.012716389742,115,87,13,1606,10597,129,19316
1,80,942,0.75,5,80.8065755367279,36.9452152252197,100.486763164316,125,73,10,6392,37360,513,115013,65.3740222454071,21.5055115222931,156.338509183123,126,65,10,4951,31556,449,71994
2,80,838,0.75,5,3.55276346206665,0.231653690338135,90.6583065331306,131,64,10,1097,7518,104,17146,11.4622225761414,8.0749626159668,101.574075706366,122,62,9,3595,23897,73,48097
3,80,756,0.75,5,0.802678823471069,0.514549732208252,100.136127421442,113,46,9,651,3420,46,12472,1.52415442466736,1.22433662414551,129.663221742259,116,41,8,1180,7481,34,15380
4,80,754,0.75,5,0.554161310195923,0.101640939712524,120.343293050481,151,87,9,484,3229,44,8603,2.41699981689453,1.95052337646484,134.064037735809,136,70,10,1951,13256,42,24163
5,80,738,0.75,5,1.59001731872559,0.382573366165161,114.105342263363,113,65,8,946,5769,120,12341,6.84059405326843,5.63880753517151,132.424001983673,116,70,10,3112,20564,127,36726
6,80,746,0.75,5,6.60685563087463,2.6131637096405,124.069149772635,127,78,9,1982,11397,199,34360,11.0559203624725,7.0441324710846,129.323220968152,131,67,9,2612,16466,196,32525
7,80,734,0.75,5,7.26013016700745,1.28416895866394,125.824746951462,112,90,10,1996,10980,190,25845,12.0587675571442,6.07807302474976,100.427078285172,103,78,9,3309,19376,111,36934
8,80,732,0.75,5,1.50359344482422,0.262879371643066,62.3866294862348,100,51,10,802,5063,75,13157,4.48043012619019,3.23962140083313,69.8296738054897,64,48,10,2217,14026,49,26440
9,80,744,0.75,5,2.90043783187866,0.421884298324585,146.678668889961,145,54,7,1243,6168,94,20711,4.1685938835144,1.67194008827209,136.327809216649,128,66,7,1872,10099,63,20978
15,80,754,0.75,5,1.4303150177002,0.681535482406616,95.6599277032662,109,50,11,997,5301,86,12913,2.81604313850403,2.04255795478821,88.4225541307325,103,71,11,1710,10768,68,19173
16,80,782,0.75,5,3.14734888076782,1.41501069068909,112.021834098863,112,81,10,1215,6808,59,16834,5.89672374725342,4.18915963172913,103.716551300326,105,97,11,2411,14667,32,29401
17,80,766,0.75,5,1.09870076179504,0.399227619171143,171.814562351871,161,49,11,820,4497,96,12934,3.96031212806702,3.25977993011475,145.390067325342,142,56,10,2249,13962,104,26343
18,80,788,0.75,5,6.02014708518982,4.30378174781799,112.668409042977,130,75,13,1810,11495,228,31742,6.80870962142944,5.13390040397644,92.4839464139252,108,47,11,2261,14435,97,28694
19,80,762,0.75,5,5.82114768028259,1.76329612731934,132.919467208411,128,65,10,2084,9376,385,30829,13.8418033123016,9.76070141792297,112.494122329949,117,67,10,4551,25136,219,50330
