iter,num_nodes,num_edges,threshold,num_edges_changed,d_totaltime,d_replantime,d_cost,d_meancost,d_varcost,d_numupdates,d_paths_expanded,d_heap_ops,d_paths_considered,d_closed_accesses,r_totaltime,r_replantime,r_cost,r_meancost,r_varcost,r_numupdates,r_paths_expanded,r_heap_ops,r_paths_considered,r_closed_accesses
1,80,942,0.75,20,57.4756705760956,12.6075496673584,133.545051485111,138,64,9,4662,24389,501,74975,77.1783382892609,32.8143680095673,134.882203681831,135,70,10,5561,38059,469,85006
2,80,838,0.75,20,3.45308971405029,0.111001253128052,155.533009250398,165,62,6,1033,6779,57,14375,8.17490792274475,4.83622336387634,190.918468822421,169,81,6,2491,16555,59,32631
3,80,756,0.75,20,0.358132362365723,0.058135509490967,175.731758419883,168,69,7,335,2073,41,5037,1.28034901618958,0.991209268569946,179.294393829261,164,57,7,1093,7295,41,14328
4,80,754,0.75,20,0.482563018798828,0.0126633644104,174.310532243928,185,57,6,393,2481,29,5011,1.44775652885437,0.997700214385986,137.803178908412,182,54,6,1211,8327,29,14962
5,80,738,0.75,20,1.23364901542664,0.064610481262207,134.010449588481,140,44,8,659,3991,63,8312,5.32603287696838,4.1380820274353,110.920804655924,135,48,9,2610,17548,52,31365
6,80,746,0.75,20,4.19790434837341,0.161964893341064,150.109844472443,143,58,6,965,6427,76,13653,8.08820271492004,4.17379188537598,124.491489758737,143,67,6,2117,14457,71,27823
7,80,734,0.75,20,6.61299848556519,0.356992721557617,152.102146762921,163,46,8,1668,8562,179,18474,16.0546391010284,9.82900595664978,163.950020778407,162,43,7,3860,20840,138,41028
8,80,732,0.75,20,1.32371878623962,0.033557891845703,130.860116944222,142,57,6,621,3777,22,8650,2.85038161277771,1.56107449531555,154.605765309605,130,63,8,1466,9506,25,17655
9,80,744,0.75,20,3.28755807876587,0.715226650238037,144.024978530518,166,66,6,1212,5692,117,15583,6.37273359298706,3.77263379096985,199.352137531034,166,66,6,2290,12056,107,25804
10,80,796,0.75,20,2.3570032119751,0.18932580947876,153.848708878176,171,69,6,876,5007,114,10914,8.32530832290649,6.15588641166687,157.179979609949,165,65,8,3246,20172,130,40354
11,80,766,0.75,20,4.56154823303223,0.620827674865723,171.525429561254,147,69,9,1178,7025,116,16869,10.8162775039673,6.16426658630371,133.077975482196,147,72,8,2926,18853,83,35716
12,80,836,0.75,20,0.824880599975586,0.060074329376221,165.217311761809,156,62,5,469,3027,53,7381,2.46444916725159,1.71416306495667,145.284515598669,156,62,5,1286,8847,51,16840
13,80,766,0.75,20,13.5345475673676,3.89102959632874,217.60326329916,176,73,7,2578,13542,326,35791,30.1097373962402,20.2568564414978,163.165654930917,169,64,7,5027,31518,310,64816
14,80,766,0.75,20,1.91872406005859,0.483984470367432,189.839894725707,173,40,8,838,4529,188,9998,4.01797246932983,2.60962748527527,170.355421737376,140,69,9,1639,9722,169,18787
15,80,754,0.75,20,0.793505191802979,0.031405925750733,149.517227467764,139,50,6,530,2979,32,6303,1.08101892471313,0.321698188781738,141.083052888062,139,53,6,787,4967,31,8703
16,80,782,0.75,20,1.85042643547058,0.09058952331543,137.352726545584,176,79,9,828,4290,65,10240,7.19346809387207,5.49365520477295,144.499257136486,175,79,10,2944,17340,66,35628
17,80,766,0.75,20,0.837586164474487,0.110867261886597,146.004285713897,171,69,7,514,3266,73,6783,2.6588671207428,1.95461893081665,104.324977635829,148,63,7,1721,11227,67,20726
18,80,788,0.75,20,1.93680810928345,0.261663913726807,155.03093596279,158,59,7,761,5078,78,12065,4.12799215316772,2.43622756004333,149.882599521073,158,59,7,1597,10446,67,20454
19,80,762,0.75,20,4.39552354812622,0.445763349533081,146.41144265399,139,68,9,1563,7536,287,19570,11.9142239093781,7.91631031036377,132.02493884916,139,55,7,3692,19796,168,40996
