iter,num_nodes,num_edges,threshold,num_edges_changed,d_totaltime,d_replantime,d_cost,d_meancost,d_varcost,d_numupdates,d_paths_expanded,d_heap_ops,d_paths_considered,d_closed_accesses,r_totaltime,r_replantime,r_cost,r_meancost,r_varcost,r_numupdates,r_paths_expanded,r_heap_ops,r_paths_considered,r_closed_accesses
0,60,704,0.75,5,2.4706785678863525,0.8969306945800781,70.63273684817841,89,45,6,927,6102,102,21613,2.829097032546997,1.2398240566253662,58.23844601275417,70,29,5,992,7354,51,15043
1,60,708,0.75,5,1.892554759979248,0.5333101749420166,45.44582125328643,73,47,8,737,6289,61,17120,3.034130334854126,1.676734447479248,65.02511905576522,65,42,7,1152,8587,62,16496
2,60,590,0.75,5,5.865113019943237,5.025009870529175,116.11988225280626,121,34,7,1431,7721,72,19903,2.4859023094177246,1.6490323543548584,113.4783625319877,102,46,8,1319,8655,71,15250
3,60,612,0.75,5,2.079617977142334,1.200106143951416,110.75659128461763,102,53,9,876,6403,142,16914,2.036306619644165,1.1791739463806152,72.93657331959257,92,43,8,1268,8808,54,15948
4,60,612,0.75,5,0.3589770793914795,0.12735629081726074,110.7425849588636,94,33,6,377,2474,43,7302,1.0934250354766846,0.8627214431762695,90.96251881110955,85,35,9,1026,7237,47,12454
5,60,660,0.75,5,2.2964911460876465,0.5248746871948242,90.26819191076817,106,56,9,1022,5744,143,15607,3.380626678466797,1.6220300197601318,66.44392266173497,83,56,9,1679,10221,133,19797
6,60,646,0.75,5,2.1248655319213867,0.44272470474243164,89.41149072532046,92,61,11,1099,5659,295,15737,5.120501518249512,3.4336602687835693,99.70808079637527,97,44,8,2221,13447,156,26605
7,60,608,0.75,5,1.0681898593902588,0.18773818016052246,96.16751025015151,86,67,11,647,3509,58,11422,1.4900805950164795,0.616680383682251,94.69113243710805,79,62,9,968,5665,37,11589
8,60,582,0.75,5,2.6011767387390137,1.7994811534881592,120.55393275841116,131,59,9,1009,4963,221,14370,1.5221593379974365,0.7214441299438477,86.20610260182973,60,50,7,999,5902,107,10783
9,60,590,0.75,5,1.2124247550964355,0.20408010482788086,64.5997737045439,96,62,8,673,4536,43,12076,2.361477851867676,1.35117769241333,77.18212576699102,74,44,8,1350,8616,31,15322
10,60,664,0.75,5,1.7357218265533447,0.38782453536987305,83.14580237988723,85,52,7,699,4861,71,13042,3.53255033493042,2.1885907649993896,57.94050082032639,72,48,6,1242,9171,55,17020
11,60,634,0.75,5,2.566990852355957,2.3532774448394775,84.46164494518213,89,36,8,902,5279,66,15117,1.3017501831054688,1.0902321338653564,55.10895006752181,71,55,8,946,6822,46,11972
12,60,580,0.75,5,0.48113489151000977,0.18666315078735352,98.51574731690219,86,58,9,424,2660,56,7419,1.3068304061889648,1.0230133533477783,81.53432646166253,74,55,9,1048,7155,46,13017
13,60,608,0.75,5,1.1247024536132812,0.14783906936645508,122.91645246630738,123,87,10,695,4122,128,10372,3.656139612197876,2.685533285140991,142.9402259755778,100,63,10,1864,12304,96,23268
14,60,684,0.75,5,3.4708757400512695,1.3019115924835205,132.13674560870922,102,47,7,1148,6946,75,22182,4.856798887252808,2.705355644226074,91.53659991634575,101,56,9,1674,11213,52,21992
15,60,608,0.75,5,3.580859661102295,1.6336867809295654,84.92658207011701,87,38,5,1319,7969,138,23313,3.8400063514709473,1.9081668853759766,102.0822772575251,86,65,6,1391,9115,112,18059
16,60,628,0.75,5,6.160762548446655,3.5539162158966064,57.37289673878436,82,99,9,2219,11309,232,34875,6.4140050411224365,3.809311866760254,103.08333369599237,73,74,7,1885,11804,156,23780
17,60,656,0.75,5,0.7258965969085693,0.06293964385986328,91.50382834017887,78,46,7,456,2925,28,9140,1.7710247039794922,1.113905906677246,87.95918014965959,78,46,7,1070,6715,22,13703
18,60,600,0.75,5,2.708592176437378,1.891270399093628,103.44372732860954,103,71,10,1446,6919,286,17882,4.1149609088897705,3.2986843585968018,90.87548416425274,73,73,8,2014,10559,184,21060
19,60,606,0.75,5,1.9447612762451172,1.6656408309936523,80.65857618938789,88,51,8,898,4317,76,12303,0.9275298118591309,0.6521718502044678,92.73140011672665,96,60,7,738,4698,46,8684
