iter,num_nodes,num_edges,threshold,num_edges_changed,d_totaltime,d_replantime,d_cost,d_meancost,d_varcost,d_numupdates,d_paths_expanded,d_heap_ops,d_paths_considered,d_closed_accesses,r_totaltime,r_replantime,r_cost,r_meancost,r_varcost,r_numupdates,r_paths_expanded,r_heap_ops,r_paths_considered,r_closed_accesses
15,90,836,0.75,5,1.96286463737488,0.451929569244385,96.3075030842507,110,63,10,1051,5965,128,14447,3.98469686508179,2.45954537391663,132.175988189794,109,67,10,2083,12268,99,22721
16,90,748,0.75,5,5.14908862113953,2.03238391876221,125.251470769098,124,69,11,2111,10063,182,26643,9.34746766090393,6.237468957901,157.840325634888,131,86,11,4134,22863,174,43093
17,90,790,0.75,5,2.05434370040894,0.985400199890137,113.236203357973,128,81,15,1133,5982,170,17523,6.17694687843323,5.09076714515686,144.98565614352,134,60,12,3370,19437,96,37610
18,90,866,0.75,5,16.426008939743,2.39561009407043,106.24641779857,128,79,12,3450,17764,444,45086,54.0311105251312,40.2233769893646,109.107796249633,127,76,12,8712,48409,417,100959
0,90,774,0.75,5,29.6480641365051,21.6321539878845,153.316361311033,148,63,14,5237,24626,701,71322,46.9295537471771,39.0433113574982,106.555111093726,131,59,12,6765,42274,514,82525
1,90,864,0.75,5,15.6609890460968,10.7466440200806,143.039143967743,135,94,9,3935,18065,253,52577,17.1114723682404,12.2620086669922,152.301268971047,122,83,11,4726,26701,189,54644
2,90,798,0.75,5,6.60610461235046,1.40239810943604,139.315225838909,138,69,10,2043,10602,232,28146,16.6479535102844,11.3571181297302,138.38694925342,139,55,10,4766,25627,229,48675
3,90,786,0.75,5,2.31658434867859,1.10881519317627,174.980497134501,160,69,11,1443,5949,348,14448,6.28780388832092,5.09463977813721,137.144829940551,149,68,11,3326,17657,219,33351
4,90,758,0.75,5,9.95925092697144,2.08265280723572,107.669224448606,98,76,10,2978,12337,219,31646,18.0732452869415,10.2649374008179,85.3396601237824,90,73,10,4139,19493,192,40254
5,90,748,0.75,5,48.5336413383484,13.4740476608276,127.014811775353,148,59,10,5319,29059,428,71474,79.848048210144,46.8991465568543,146.976725162255,127,63,13,8221,46164,353,89739
6,90,824,0.75,5,102.78037571907,15.6373391151428,106.883598974162,121,110,13,8547,44219,343,106935,183.844153642654,96.3857164382935,68.1429897583915,106,84,12,13114,67986,252,141321
7,90,766,0.75,5,26.3195395469666,18.9412448406219,142.958753059905,132,86,13,3990,22230,452,46109,16.0401184558868,9.0595133304596,103.837938036106,109,72,13,4720,27325,186,50039
8,90,896,0.75,5,25.9992821216583,21.1965808868408,136.878035772247,131,83,16,3694,22437,313,59082,30.1921970844269,25.0462400913239,150.284775742351,125,79,15,7094,47613,217,93962
9,90,728,0.75,5,0.448110342025757,0.036591768264771,136.822476677884,132,65,9,448,2440,32,6807,1.51663947105408,1.10716271400452,107.223954413623,115,63,9,1473,7835,27,14669
12,90,772,0.75,5,4.03821849822998,0.802789449691772,180.216431212702,173,99,13,1605,8582,141,19743,9.70135116577148,6.54107069969177,145.61778993178,156,63,13,4239,23617,104,45602
13,90,766,0.75,5,7.02401661872864,1.08827090263367,116.779022660305,129,88,13,2238,10981,477,28590,19.4107713699341,13.7164299488068,96.9281907501851,112,97,13,6371,34023,241,65140
10,90,730,0.75,5,0.774125099182129,0.162355422973633,113.970252054962,147,59,9,615,3504,48,8994,1.73681902885437,1.13150548934937,134.99794884901,143,65,9,1436,8058,35,14326
11,90,790,0.75,5,1.73228693008423,0.950525999069214,100.379274900798,113,119,17,1241,6013,177,17265,3.10210919380188,2.30585741996765,129.308070714616,136,66,10,2277,13269,102,25197
14,90,776,0.75,5,35.5563666820526,9.63585782051086,106.542815823704,107,110,13,5337,31355,612,66437,61.0012748241425,35.1696557998657,100.648408186667,105,113,12,8519,47188,351,93777
19,90,774,0.75,5,10.248188495636,6.54635953903198,132.886579939973,125,87,11,2890,12039,418,33647,8.7763979434967,5.20162439346314,125.963636775469,127,67,9,3216,16785,294,33768
