iter,num_nodes,num_edges,threshold,num_edges_changed,d_totaltime,d_replantime,d_cost,d_meancost,d_varcost,d_numupdates,d_paths_expanded,d_heap_ops,d_paths_considered,d_closed_accesses,r_totaltime,r_replantime,r_cost,r_meancost,r_varcost,r_numupdates,r_paths_expanded,r_heap_ops,r_paths_considered,r_closed_accesses
0,90,774,0.75,20,15.5656683444977,7.94107961654663,169.486209631373,175,71,9,2597,17595,227,37606,57.8430833816528,50.2103328704834,158.773259721816,148,74,10,7226,47189,408,91980
1,90,864,0.75,20,5.26731491088867,0.535507440567017,174.395487401302,179,92,12,1748,8924,256,22984,21.3314301967621,16.5449042320251,144.902052355391,161,90,11,6397,35314,212,74463
2,90,798,0.75,20,5.70728087425232,0.568173885345459,158.859024587361,175,80,9,1726,8328,210,18714,15.7168016433716,10.5923113822937,160.717934393384,166,61,8,4650,25101,163,48319
3,90,786,0.75,20,1.42477965354919,0.235676288604736,224.78791144409,192,96,9,909,4476,145,10031,4.20691585540772,3.01872086524963,178.613255031247,184,78,8,2449,13610,107,25610
4,90,758,0.75,20,9.53592467308044,1.80183458328247,128.109375893397,144,85,8,2315,10359,232,25977,14.1686010360718,6.46102595329285,129.355584514157,144,85,8,3613,18525,179,36954
5,90,748,0.75,20,33.871408700943,1.71263909339905,134.666779946922,164,77,7,3381,19100,368,41025,72.6020431518555,40.777590751648,177.336928626858,163,81,7,7645,43647,293,85567
6,90,824,0.75,20,121.947568893433,35.9404103755951,200.511414407016,186,65,7,10227,42021,286,110407,205.412710905075,120.014703512192,198.32432240386,175,57,7,13752,72914,208,150168
7,90,766,0.75,20,8.56192469596863,1.3837890625,160.748481742096,166,76,8,1830,10217,204,21099,13.2969336509705,6.32443881034851,204.786218254537,151,61,7,3557,19996,108,37884
8,90,896,0.75,20,5.12160730361939,0.059212446212769,169.465144142873,181,43,6,1207,8272,62,18271,16.215122461319,11.4463472366333,184.118103109582,178,54,7,4414,30234,63,61146
9,90,728,0.75,20,0.420451641082764,0.013424158096314,181.57720206586,171,64,8,415,2052,44,4537,1.81685662269592,1.41162657737732,163.560361940769,171,64,8,1669,8975,43,16724
12,90,772,0.75,20,3.3784761428833,0.121888637542725,181.422764774511,195,70,7,1350,6610,86,13560,6.650226354599,3.39087915420532,162.54613406109,174,67,8,2923,16453,88,31584
13,90,766,0.75,20,8.46378421783447,2.61377000808716,126.145503710399,155,83,10,2641,11915,456,26338,19.2178871631622,13.3173549175262,140.959169928005,135,62,11,6068,32270,257,61479
15,90,836,0.75,20,1.90750789642334,0.384125947952271,196.722090908259,197,75,11,1045,4771,290,10678,8.78053188323975,7.23036646842957,215.035013252905,197,73,11,3713,21272,227,40136
16,90,748,0.75,20,3.52776384353638,0.335906267166138,146.83690291718,150,76,12,1376,6752,175,15683,9.98042035102844,6.80718040466309,129.250467417878,142,99,12,4244,23498,148,44066
18,90,866,0.75,20,13.9647030830383,0.28774356842041,195.406545527849,176,79,8,2359,12415,210,28521,44.2857434749603,30.0217533111572,218.324960577174,184,76,10,7888,43119,296,90277
10,90,730,0.75,20,0.634267807006836,0.046767950057983,212.696087998254,190,64,7,525,2774,52,5595,1.64932060241699,1.05523943901062,142.68812323787,161,46,6,1407,7839,38,13957
11,90,790,0.75,20,0.867183923721314,0.096224069595337,155.855782247322,162,101,9,678,3428,70,7906,2.57548451423645,1.80566430091858,151.321907432135,145,82,9,2093,12342,67,23371
14,90,776,0.75,20,33.3059458732605,7.87283515930176,173.469050591329,179,63,9,4487,20102,461,48091,73.2724282741547,47.4449446201325,136.05003401909,170,74,9,9462,53513,333,106533
19,90,774,0.75,20,4.83945870399475,1.24883127212524,162.067502109261,164,60,8,1726,8421,365,19085,12.8107180595398,9.2489607334137,158.412781270348,153,64,10,4346,23298,415,46392
