iter,num_nodes,num_edges,threshold,num_edges_changed,d_totaltime,d_replantime,d_cost,d_meancost,d_varcost,d_numupdates,d_paths_expanded,d_heap_ops,d_paths_considered,d_closed_accesses,r_totaltime,r_replantime,r_cost,r_meancost,r_varcost,r_numupdates,r_paths_expanded,r_heap_ops,r_paths_considered,r_closed_accesses
0,70,700,0.75,20,2.17700171470642,0.267607450485229,129.647372784815,136,61,6,821,4806,142,10893,5.52639675140381,3.63028049468994,127.980711203607,128,71,6,1901,11968,103,23247
1,70,618,0.75,20,0.323630332946777,0.026325225830078,141.649606114498,162,59,7,328,1862,25,4014,1.15502166748047,0.842730283737183,147.129963423366,160,65,7,1070,6814,23,12348
2,70,696,0.75,20,8.15676331520081,0.111312866210938,114.792631354307,129,47,7,1535,9030,52,19866,21.2876582145691,13.1845481395721,159.721099793268,129,47,7,3993,24706,39,48753
3,70,696,0.75,20,0.283378839492798,0.041414499282837,115.69782692964,118,46,7,317,1840,19,4809,0.852386236190796,0.610570430755615,118.227844568605,109,57,7,852,6092,18,10897
4,70,752,0.75,20,1.64197659492493,0.070827722549439,163.387538255521,138,65,7,641,3763,76,8610,3.68757081031799,2.12885332107544,140.792835694724,139,44,6,1641,10260,65,20777
5,70,664,0.75,20,0.399214029312134,0.057627677917481,115.679700100135,118,50,8,385,2149,36,5063,0.902355670928955,0.56686806678772,80.8346672153794,109,57,7,886,5799,23,10435
6,70,770,0.75,20,8.11036443710327,1.89507174491882,137.079742214879,124,47,8,1548,10506,362,25645,9.72947692871094,3.56644558906555,104.401549620471,96,50,8,2122,14539,264,29599
7,70,594,0.75,20,2.14686703681946,0.543710708618164,101.404405748247,105,60,7,951,4964,134,11397,3.19979286193848,1.60612201690674,95.1052512046999,110,65,7,1646,8931,105,16917
8,70,726,0.75,20,1.05120587348938,0.07141923904419,150.280205179658,145,47,6,511,3248,54,7150,4.15639686584473,3.18950390815735,125.923460327282,142,53,7,1788,12482,76,24644
9,70,790,0.75,20,4.76084470748901,1.51880884170532,153.424586012413,138,80,9,1353,7851,255,21156,8.65682601928711,5.44585299491882,119.070674204001,109,61,7,2475,17925,57,35911
10,70,834,0.75,20,2.58095073699951,0.664382457733154,137.655916810591,130,70,9,1023,6047,136,17406,6.41935706138611,4.51348280906677,106.733570386001,122,70,8,2545,16121,84,34423
11,70,670,0.75,20,3.73853969573975,0.424408197402954,112.764134327162,130,55,7,1096,5777,126,13351,10.3514499664307,7.06520175933838,134.194373685546,130,57,7,3090,18641,94,37205
12,70,714,0.75,20,1.29716634750366,0.181162595748901,163.955667839277,135,51,7,698,3550,76,10731,2.66035509109497,1.54935550689697,155.233282628186,122,59,7,1536,9792,74,18399
13,70,656,0.75,20,2.54121875762939,0.131754636764526,157.839126561025,139,40,7,911,5386,61,11630,5.94899654388428,3.57562780380249,137.424835526417,132,58,8,2289,14770,56,27013
14,70,628,0.75,20,4.09118413925171,0.057223320007324,129.902066965683,120,39,6,1001,5717,32,12307,8.86236333847046,4.85015034675598,127.908766229235,126,33,5,2269,12733,31,25115
15,70,684,0.75,20,1.34445929527283,0.250270366668701,112.141899088058,135,48,6,660,3301,109,7440,3.49981164932251,2.41538405418396,109.764697305756,136,46,5,1627,9267,74,18652
16,70,624,0.75,20,1.87668824195862,0.319365739822388,179.172241207892,161,59,7,868,4250,157,9411,3.68913769721985,2.14132356643677,109.026638845932,124,64,6,1717,8684,117,17324
17,70,662,0.75,20,1.29981732368469,0.277336597442627,129.817310510381,148,54,6,728,3932,61,9713,2.45238256454468,1.42754006385803,110.531068097658,119,58,6,1491,7979,43,15428
18,70,692,0.75,20,2.5524468421936,0.061498880386353,88.0070032459989,105,69,5,801,4898,38,10654,3.88433313369751,1.38703656196594,115.980216927415,105,69,5,1436,9873,33,17931
19,70,694,0.75,20,5.33770751953125,0.924460411071777,140.590620512872,142,60,7,1544,7937,331,16624,9.58859992027283,5.19813084602356,127.967737188248,140,65,7,3102,18241,276,33592
