iter,num_nodes,num_edges,threshold,num_edges_changed,d_totaltime,d_replantime,d_cost,d_meancost,d_varcost,d_numupdates,d_paths_expanded,d_heap_ops,d_paths_considered,d_closed_accesses,r_totaltime,r_replantime,r_cost,r_meancost,r_varcost,r_numupdates,r_paths_expanded,r_heap_ops,r_paths_considered,r_closed_accesses
0,70,700,0.75,5,3.90780377388,1.98218297958374,101.30800238571,103,75,9,1216,7797,166,18879,4.26326751708984,2.33442401885986,61.0817820981367,92,62,8,1532,9543,71,18493
1,70,618,0.75,5,0.957854509353638,0.654628038406372,127.229783009392,147,54,7,664,3532,45,9841,1.29213118553162,0.990203142166138,110.270843747965,125,68,8,1176,7508,42,13524
2,70,696,0.75,5,14.5192809104919,6.25261235237122,101.577934890648,135,49,9,2628,15829,91,40093,20.9774856567383,12.7241296768188,96.2352436340154,95,52,11,4310,26522,98,52206
3,70,696,0.75,5,0.404489755630493,0.155370950698853,74.985051060316,97,59,10,412,3058,47,8566,1.07547569274902,0.826977729797363,81.2129965290903,80,75,12,1059,7637,45,13354
4,70,752,0.75,5,3.17723083496094,1.5619809627533,134.212684967903,111,65,10,1431,6892,122,21644,3.92179894447327,2.31404066085815,79.5842303280068,113,87,11,1820,11507,92,23011
5,70,664,0.75,5,0.676177263259888,0.331174373626709,102.966705859393,85,84,10,549,3098,96,9233,1.70406436920166,1.35730743408203,108.466892115112,105,81,9,1428,9020,57,16423
6,70,770,0.75,5,9.33162117004395,2.97382187843323,121.022740976938,122,69,9,1831,10842,338,39230,13.8308990001678,7.48830413818359,112.832134673058,114,73,10,2838,18438,360,39071
7,70,594,0.75,5,1.89778137207031,0.262274503707886,98.2391358858596,96,41,8,955,5647,104,12886,2.53348422050476,0.886800765991211,114.373248654587,96,30,7,1384,7438,88,13934
8,70,726,0.75,5,1.07019519805908,0.075716257095337,97.5279532961998,77,48,7,524,3674,60,9547,3.09878015518188,2.0967812538147,79.531206068738,77,48,7,1285,8845,48,17613
9,70,790,0.75,5,6.02909636497498,2.72026467323303,89.3926332223301,75,36,7,1621,12242,78,31142,8.81825566291809,5.52037382125855,71.2004696929929,64,37,7,2158,14597,67,30021
10,70,834,0.75,5,5.14201807975769,3.19028997421265,125.331005643492,113,78,10,1932,8428,244,32918,7.10779404640198,5.15902161598206,111.659507521378,95,52,9,2455,14532,131,32317
11,70,670,0.75,5,4.35000586509705,0.989412546157837,98.4111509434364,100,61,8,1630,7959,187,22919,11.6059305667877,8.2445662021637,84.7368008708113,99,85,8,3258,19258,173,37804
12,70,714,0.75,5,1.60503244400024,0.457123041152954,80.6668120268637,103,60,8,797,5017,77,14988,2.68635559082031,1.55350494384766,73.2507764186521,87,72,9,1408,9045,93,17072
13,70,656,0.75,5,3.39564228057861,0.953608274459839,118.015524316226,96,71,10,1368,7455,140,19582,8.12356734275818,5.67803454399109,99.5989150576685,103,63,9,2902,18017,106,33531
14,70,628,0.75,5,6.45198750495911,2.34563684463501,131.608008477438,133,67,9,1690,9015,194,22893,6.87119555473328,2.79336929321289,111.631857888061,114,66,10,2229,12856,111,23579
15,70,684,0.75,5,1.22458553314209,0.145424842834473,117.832253066555,105,55,7,602,3648,27,10935,2.40606141090393,1.32306098937988,71.223362113032,86,59,9,1313,7615,40,14993
16,70,624,0.75,5,1.92612075805664,0.386561870574951,142.713557187715,132,64,8,1063,4723,235,12662,5.74815464019775,4.20925426483154,129.794868707833,134,46,7,2455,12642,163,24879
17,70,662,0.75,5,1.2924497127533,0.271115779876709,93.2868189614125,95,51,10,837,4341,91,13096,3.61094665527344,2.59168362617493,85.5996776568314,86,80,11,2490,12819,70,25286
18,70,692,0.75,5,3.39093661308289,0.929643630981445,102.967353618588,83,73,10,1387,7886,121,21942,6.57853102684021,4.10538363456726,67.7063480355688,74,61,10,2144,14297,92,26254
19,70,694,0.75,5,7.34827995300293,2.97209572792053,108.087253082611,123,75,10,2471,12967,309,30052,10.7042679786682,6.30060839653015,118.79944370544,110,56,8,3512,21452,237,39381
